1,44,150.37,150.0,108.33,333.45,1,-1,-1,-1
2,44,206.0,142.06,111.15,274.44,1,-1,-1,-1
3,44,243.74,143.19,111.46,223.66,1,-1,-1,-1
4,44,280.35,142.05,103.25,184.15,1,-1,-1,-1
5,44,316.14,142.6,96.36,129.1,1,-1,-1,-1
6,44,357.58,149.12,80.62,92.48,1,-1,-1,-1
7,44,403.55,156.22,55.95,67.78,1,-1,-1,-1
8,44,443.86,154.25,36.88,56.12,1,-1,-1,-1
9,44,467.97,166.58,27.98,38.12,1,-1,-1,-1
10,44,485.07,177.75,24.4,27.22,1,-1,-1,-1
11,44,486.4,181.8,31.2,23.7,1,-1,-1,-1
12,44,495.9,184.2,28.4,22.1,1,-1,-1,-1
