3,39,732.61,0.0,85.77,46.79,1,-1,-1,-1
4,39,726.59,0.34,103.81,128.46,1,-1,-1,-1
5,39,727.34,3.31,172.26,205.99,1,-1,-1,-1
6,39,740.88,15.34,112.92,236.76,1,-1,-1,-1
7,39,750.3,108.23,101.96,185.27,1,-1,-1,-1
8,39,751.4,141.69,115.2,177.41,1,-1,-1,-1
9,39,730.3,159.7,150.6,190.2,1,-1,-1,-1
10,39,760.38,206.33,140.12,185.67,1,-1,-1,-1
11,39,747.6,220.62,152.15,236.78,1,-1,-1,-1
12,39,633.2,225.9,263.5,302.9,1,-1,-1,-1
13,39,511.2,259.4,390.64,345.7,1,-1,-1,-1
14,39,447.1,272.56,433.9,402.04,1,-1,-1,-1
15,39,506.7,276.89,291.98,457.31,1,-1,-1,-1
16,39,506.7,319.13,331.0,508.17,1,-1,-1,-1
