1,66,174.2,199.03,838.66,520.97,1,-1,-1,-1
2,66,670.85,131.91,275.86,416.13,1,-1,-1,-1
3,66,739.05,91.2,231.06,277.74,1,-1,-1,-1
4,66,769.5,98.33,246.41,137.27,1,-1,-1,-1
5,66,772.5,121.73,273.94,112.87,1,-1,-1,-1
6,66,802.01,131.86,260.71,96.65,1,-1,-1,-1
7,66,824.4,136.93,246.99,90.56,1,-1,-1,-1
8,66,851.84,155.2,196.66,63.14,1,-1,-1,-1
9,66,882.4,144.0,147.78,50.93,1,-1,-1,-1
10,66,906.9,120.6,111.07,59.06,1,-1,-1,-1
11,66,949.67,133.8,58.12,37.72,1,-1,-1,-1
14,66,934.4,198.01,39.79,34.6,1,-1,-1,-1
15,66,921.17,195.98,46.9,37.68,1,-1,-1,-1
16,66,909.0,187.8,40.76,32.63,1,-1,-1,-1
17,66,898.78,187.8,45.89,40.75,1,-1,-1,-1
18,66,893.7,212.22,45.88,40.75,1,-1,-1,-1
19,66,881.49,201.03,49.95,44.78,1,-1,-1,-1
20,66,859.1,170.5,57.06,53.91,1,-1,-1,-1
21,66,816.36,129.79,91.64,85.41,1,-1,-1,-1
22,66,794.99,111.48,113.05,94.58,1,-1,-1,-1
